Shade Name,Brand,Tier,Hex Code
Ivory Lace,Hermès,Premium,#f606c3
Lavender Mist,Dior,Premium,#59381f
Pumpkin Spice,China Glaze,Common,#a553fb
Cotton Cloud,Sally Hansen,Common,#7c83d9
Tangerine Twist,OPI,Common,#f68556
Coral Crush,Essie,Common,#43ec0f
Coral Crush,Essie,Common,#43ec0f
Peach Fuzz,Chanel,Premium,#601049
Periwinkle,Essie,Common,#daf710
Tangerine Twist,Chanel,Premium,#f68556
Ruby Red,Sally Hansen Xtreme,Affordable,#864c1e
Canary Glow,L.A. Colors,Affordable,#2b7cac
Jade Stone,L.A. Colors,Affordable,#2337d8
Snowflake,Sally Hansen Xtreme,Affordable,#d620f8
Violet Bloom,Deborah Lippmann,Premium,#ab222d
Emerald Dream,China Glaze,Common,#21b1d4
Jade Stone,Sally Hansen,Common,#2337d8
Lavender Mist,China Glaze,Common,#59381f
Caramel Swirl,Wet n Wild,Affordable,#2dfd4c
Pumpkin Spice,Deborah Lippmann,Premium,#a553fb
Caramel Swirl,Hermès,Premium,#2dfd4c
Cherry Pop,Sally Hansen,Common,#537d57
Coral Crush,China Glaze,Common,#43ec0f
Violet Bloom,L.A. Colors,Affordable,#ab222d
Ruby Red,Essie,Common,#864c1e
Emerald Dream,Chanel,Premium,#21b1d4
Ivory Lace,Deborah Lippmann,Premium,#f606c3
Pumpkin Spice,Essie,Common,#a553fb
Nude Whisper,Essie,Common,#7e082a
Periwinkle,Sally Hansen Xtreme,Affordable,#daf710
Rosewood,Sinful Colors,Affordable,#d637c4
Nude Whisper,OPI,Common,#7e082a
Jade Stone,Butter London,Premium,#2337d8
Ocean Teal,Sinful Colors,Affordable,#407b48
Ruby Red,Chanel,Premium,#864c1e
Mint Condition,L.A. Colors,Affordable,#ba2acb
Mint Condition,Dior,Premium,#ba2acb
Pumpkin Spice,Sally Hansen Xtreme,Affordable,#a553fb
Jade Stone,OPI,Common,#2337d8
Blush Pink,L.A. Colors,Affordable,#5e66af
Cotton Cloud,OPI,Common,#7c83d9
Lavender Mist,Sally Hansen Xtreme,Affordable,#59381f
Cotton Cloud,Wet n Wild,Affordable,#7c83d9
Espresso Shot,L.A. Colors,Affordable,#5809a1
Onyx Black,Sally Hansen Xtreme,Affordable,#b116da
Lavender Mist,Chanel,Premium,#59381f
Ivory Lace,Dior,Premium,#f606c3
Nude Whisper,Sally Hansen Xtreme,Affordable,#7e082a
Onyx Black,Essie,Common,#b116da
Violet Bloom,Sally Hansen,Common,#ab222d
Nude Whisper,Butter London,Premium,#7e082a
Mint Condition,Deborah Lippmann,Premium,#ba2acb
Ivory Lace,Dior,Premium,#f606c3
Navy Nights,OPI,Common,#c1ea2d
Coral Crush,Wet n Wild,Affordable,#43ec0f
Sunny Side,Wet n Wild,Affordable,#332067
Tangerine Twist,Sally Hansen,Common,#f68556
Peach Fuzz,Hermès,Premium,#601049
Cherry Pop,China Glaze,Common,#537d57
Periwinkle,L.A. Colors,Affordable,#daf710
Ruby Red,Dior,Premium,#864c1e
Royal Purple,Dior,Premium,#73666a
Caramel Swirl,Wet n Wild,Affordable,#2dfd4c
Rosewood,China Glaze,Common,#d637c4
Lavender Mist,Sally Hansen,Common,#59381f
Nude Whisper,OPI,Common,#7e082a
Jade Stone,Essie,Common,#2337d8
Nude Whisper,Wet n Wild,Affordable,#7e082a
Jade Stone,Wet n Wild,Affordable,#2337d8
Blush Pink,Butter London,Premium,#5e66af
Merlot,OPI,Common,#7fe2c8
Coral Crush,Essie,Common,#43ec0f
Snowflake,China Glaze,Common,#d620f8
Caramel Swirl,Essie,Common,#2dfd4c
Violet Bloom,Hermès,Premium,#ab222d
Canary Glow,Sinful Colors,Affordable,#2b7cac
Sunny Side,Essie,Common,#332067
Peach Fuzz,Gucci,Premium,#601049
Ocean Teal,Chanel,Premium,#407b48
Nude Whisper,Hermès,Premium,#7e082a
Coral Crush,Sally Hansen,Common,#43ec0f
Emerald Dream,Sally Hansen,Common,#21b1d4
Sunny Side,China Glaze,Common,#332067
Cherry Pop,Sally Hansen Xtreme,Affordable,#537d57
Lemon Drop,Sinful Colors,Affordable,#e12379
Ivory Lace,Chanel,Premium,#f606c3
Charcoal Gray,Sally Hansen Xtreme,Affordable,#57b001
Jade Stone,Essie,Common,#2337d8
Mint Condition,Butter London,Premium,#ba2acb
Canary Glow,Hermès,Premium,#2b7cac
Periwinkle,Dior,Premium,#daf710
Emerald Dream,Dior,Premium,#21b1d4
Lemon Drop,Sinful Colors,Affordable,#e12379
Rosewood,Sally Hansen,Common,#d637c4
Onyx Black,Dior,Premium,#b116da
Cherry Pop,OPI,Common,#537d57
Charcoal Gray,China Glaze,Common,#57b001
Ivory Lace,Sally Hansen Xtreme,Affordable,#f606c3
Ocean Teal,Dior,Premium,#407b48
Pumpkin Spice,Butter London,Premium,#a553fb
